query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
0,imgt:mAb_1171,imgt:StudyProduct_Innovent_Biologics_Solid_tumors_1171,PDCD1;ERBB2,18,15,0.8333,0.6477,1.2865,3,scored
1,imgt:mAb_1153,imgt:StudyProduct_Amgen_Solid_tumors_1153,PDCD1,18,13,0.7222,0.5981,1.2074,5,scored
2,imgt:mAb_940,imgt:StudyProduct_Novo_Nordisk_Rheumatoid_arthritis_(RA)_940,C5AR1,18,9,0.5,0.4233,1.1812,9,scored
3,imgt:mAb_1128,imgt:StudyProduct_Sinocelltech_Ltd_Hepatocellular_carcinoma_(HCC)_1128,PDCD1,18,13,0.7222,0.6015,1.2008,5,scored
4,imgt:mAb_902,imgt:StudyProduct_AbbVie_Inc_Solid_tumors_902,EGFR,18,11,0.6111,0.4684,1.3046,7,scored
5,imgt:mAb_366,imgt:StudyProduct_Kyowa_Hakko_Kirin_Tropical_spastic_paraparesis_(TSP_model_for_multiple_sclerosis)_366,NOCT,18,3,0.1667,0.098,1.7003,15,scored
6,imgt:mAb_1054,imgt:StudyProduct_MacroGenics_Inc_Solid_tumors_advanced_or_metastatic_1054,CD276;CD3E,18,16,0.8889,0.7244,1.2271,2,scored
7,imgt:mAb_408,imgt:StudyProduct_Amgen_Cancers_endometrial_(EC)_408,ANGPT2,18,11,0.6111,0.4866,1.2559,7,scored
8,imgt:mAb_1263,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Multiple_myeloma_(MM)_1263,CD3E;TNFRSF17,18,14,0.7778,0.7025,1.1071,4,scored
9,imgt:mAb_602,imgt:StudyProduct_Debiopharm_Internaltional_SA_Lymphoma_diffuse_large_B_cell_(DLBCL)_602,CD37,18,8,0.4444,0.4115,1.0802,10,scored
10,imgt:mAb_1266,imgt:StudyProduct_Sutro_Biopharma_Inc_Cancers_ovarian_1266,FOLR1,18,7,0.3889,0.3865,1.0062,11,scored
11,imgt:mAb_255,imgt:StudyProduct_Immunomedics_Inc_Cancers_255,AFP,18,5,0.2778,0.1697,1.637,13,scored
12,imgt:mAb_470,imgt:StudyProduct_OncoMed_Pharmaceuticals_Solid_tumors_470,,,,,,,,no_target_or_ot
13,imgt:mAb_1082,imgt:StudyProduct_Jounce_Therapeutics_Solid_tumors_1082,PDCD1,18,13,0.7222,0.5989,1.2058,5,scored
14,imgt:mAb_1365,imgt:StudyProduct_Lyvgen_Biopharma_Cancers_gastric_1365,PDCD1,18,13,0.7222,0.6028,1.1981,5,scored
15,imgt:mAb_1346,imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_1346,ADAM9,18,9,0.5,0.4475,1.1174,9,scored
16,imgt:mAb_467,imgt:StudyProduct_OncoMed_Pharmaceuticals_Cancers_small_cell_lung_(SCLC)_467,NOTCH3;NOTCH2,18,14,0.7778,0.6175,1.2595,4,scored
17,imgt:mAb_1181,imgt:StudyProduct_Genmab_A/S_Solid_tumors_1181,CD40;TNFRSF9,18,15,0.8333,0.6769,1.231,3,scored
18,imgt:mAb_813,imgt:StudyProduct_Genmab_A/S_Solid_tumors_813,AXL,18,13,0.7222,0.5893,1.2256,5,scored
19,imgt:mAb_969,imgt:StudyProduct_Pfizer_Cancers_non-small_cell_lung_(NSCLC)_969,PDCD1,18,13,0.7222,0.599,1.2057,5,scored
20,imgt:mAb_539,imgt:StudyProduct_Sanofi-Aventis_US_LLC_Multiple_myeloma_(MM)_539,CD38,18,13,0.7222,0.6101,1.1839,5,scored
21,imgt:mAb_582,imgt:StudyProduct_Atara_Biotherapeutics_Inc_Cancers_ovarian_582,MSTN;INHBA;GDF11,18,14,0.7778,0.5561,1.3985,4,scored
22,imgt:mAb_1354,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Melanoma_1354,LAG3;PDCD1,18,16,0.8889,0.7459,1.1917,2,scored
23,imgt:mAb_680,imgt:StudyProduct_Oncurious_NV_Solid_tumors_680,PGF,18,6,0.3333,0.3393,0.9823,12,scored
24,imgt:mAb_1194,imgt:StudyProduct_Akeso_Biopharma_Inc_Solid_tumors_1194,KDR,18,12,0.6667,0.5145,1.2957,6,scored
25,imgt:mAb_512,imgt:StudyProduct_Merck_Serono_International_SA_Solid_tumors_512,CD274,18,13,0.7222,0.5808,1.2435,5,scored
26,imgt:mAb_248,imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_248,CTLA4,18,7,0.3889,0.327,1.1891,11,scored
27,imgt:mAb_76,imgt:StudyProduct_YM_BioSciences_Inc_Cancers_pancreatic_76,EGFR,18,11,0.6111,0.4696,1.3012,7,scored
28,imgt:mAb_357,imgt:StudyProduct_ImmunoGen_Inc_Cancers_gastric_357,ERBB2,18,9,0.5,0.3974,1.2583,9,scored
29,imgt:mAb_1035,imgt:StudyProduct_Genmab_A/S_Solid_tumors_1035,TNFRSF10B,18,17,0.9444,0.6912,1.3663,1,scored
30,imgt:mAb_1036,imgt:StudyProduct_Mersana_Therapeutics_Solid_tumors_1036,SLC34A2,18,17,0.9444,0.7532,1.254,1,scored
31,imgt:mAb_649,imgt:StudyProduct_Pfizer_Acute_myeloid_leukemia_(AML)_649,CD33,18,6,0.3333,0.3033,1.0991,12,scored
32,imgt:mAb_295,imgt:StudyProduct_ImClone_Systems_Inc_Solid_tumors_295,KDR,18,12,0.6667,0.5111,1.3043,6,scored
33,imgt:mAb_96,imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Rheumatoid_arthritis_(RA)_96,IL6R,18,6,0.3333,0.2632,1.2664,12,scored
34,imgt:mAb_457,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Lymphoma_diffuse_large_B_cell_(DLBCL)_457,CD22,18,7,0.3889,0.3497,1.1122,11,scored
35,imgt:mAb_1367,imgt:StudyProduct_Lyvgen_Biopharma_Cancers_gastric_1367,CD40,18,12,0.6667,0.5183,1.2862,6,scored
36,imgt:mAb_180,imgt:StudyProduct_Medarex_Cancers_non-small_cell_lung_(NSCLC)_180,CTLA4,18,7,0.3889,0.3365,1.1557,11,scored
37,imgt:mAb_24,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_colorectal_(CRC)_metastatic_24,VEGFA,18,6,0.3333,0.2688,1.2401,12,scored
38,imgt:mAb_352,imgt:StudyProduct_Eli_Lilly_Glioblastoma_352,PDGFRA,18,11,0.6111,0.5164,1.1835,7,scored
39,imgt:mAb_984,imgt:StudyProduct_Adaptimmune_LLC_Cancers_non-small_cell_lung_(NSCLC)_984,CTAG1B,18,16,0.8889,0.7084,1.2548,2,scored
40,imgt:mAb_1384,imgt:StudyProduct_Curocell_Inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_1384,CD19,18,9,0.5,0.3835,1.3039,9,scored
41,imgt:mAb_301,imgt:StudyProduct_Janssen_Biotech_Inc_AL_amyloidosis_301,CD38,18,13,0.7222,0.6156,1.1732,5,scored
42,imgt:mAb_921,imgt:StudyProduct_Xencor_Inc_Cancers_gastrointestinal_921,CD3E;SSTR2,18,15,0.8333,0.6728,1.2386,3,scored
43,imgt:mAb_472,imgt:StudyProduct_Merck_&_Co_Inc_Lymphoma_primary_mediastinal_B_cell_(PMBL)_472,PDCD1,18,13,0.7222,0.5948,1.2142,5,scored
44,imgt:mAb_882,imgt:StudyProduct_Millennium_Pharmaceuticals_Inc_Multiple_myeloma_(MM)_882,CD38,18,13,0.7222,0.6156,1.1732,5,scored
45,imgt:mAb_458,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Non-Hodgkins_lymphoma_(NHL)_458,CD79B,18,14,0.7778,0.6277,1.2392,4,scored
46,imgt:mAb_211,imgt:StudyProduct_ImmunoGen_Inc_Cancers_small_cell_lung_(SCLC)_211,NCAM1,18,2,0.1111,0.0906,1.2264,16,scored
47,imgt:mAb_834,imgt:StudyProduct_PharmAbcine_Inc_Glioblastoma_834,KDR,18,12,0.6667,0.5105,1.3059,6,scored
48,imgt:mAb_958,imgt:StudyProduct_AbbVie_Inc_Solid_tumors_advanced_or_metastatic_958,CD276,18,11,0.6111,0.5151,1.1864,7,scored
49,imgt:mAb_1355,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_non-small_cell_lung_(NSCLC)_1355,HAVCR2;PDCD1,18,15,0.8333,0.7505,1.1103,3,scored
50,imgt:mAb_1101,imgt:StudyProduct_TCR2_Therapeutics_Inc_Cancers_ovarian_1101,MSLN,18,10,0.5556,0.4465,1.2443,8,scored
51,imgt:mAb_1337,imgt:StudyProduct_Surface_Oncology_Inc_Hepatocellular_carcinoma_(HCC)_1337,IL27,18,11,0.6111,0.5221,1.1704,7,scored
52,imgt:mAb_407,imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_407,ERBB3,18,9,0.5,0.3821,1.3085,9,scored
53,imgt:mAb_176,imgt:StudyProduct_Novartis_Pharmaceuticals_Corp_Multiple_myeloma_(MM)_176,CD40,18,12,0.6667,0.5126,1.3006,6,scored
54,imgt:mAb_1084,imgt:StudyProduct_Xencor_Inc_Solid_tumors_1084,CTLA4;LAG3,18,16,0.8889,0.7375,1.2053,2,scored
55,imgt:mAb_389,imgt:StudyProduct_ImmunoGen_Inc_Multiple_myeloma_(MM)_389,SDC1,18,11,0.6111,0.4914,1.2436,7,scored
56,imgt:mAb_640,imgt:StudyProduct_MacroGenics_Inc_Acute_lymphocytic_leukemia_(ALL)_640,CD19;CD3E,18,14,0.7778,0.605,1.2855,4,scored
57,imgt:mAb_743,imgt:StudyProduct_Xencor_Inc_Myelodysplastic_syndromes_(MDS)_743,CD33,18,6,0.3333,0.2936,1.1354,12,scored
58,imgt:mAb_736,imgt:StudyProduct_ZymeWorks_Inc_Cancers_ovarian_736,ERBB2,18,9,0.5,0.3983,1.2553,9,scored
59,imgt:mAb_431,imgt:StudyProduct_Seattle_genetics_Inc_Cancers_431,CD70,18,13,0.7222,0.5948,1.2143,5,scored
60,imgt:mAb_96,imgt:StudyProduct_Chugai_Pharmaceutical_Co_Ltd_Cytokine_Release_Syndrome_(CRS)_96,IL6R,18,6,0.3333,0.2629,1.2677,12,scored
61,imgt:mAb_159,imgt:StudyProduct_Peregrine_Pharmaceuticals_Inc_Non-Hodgkins_lymphoma_(NHL)_159,,,,,,,,no_target_or_ot
62,imgt:mAb_228,imgt:StudyProduct_Genmab_A/S_Hodgkin_lymphoma_228,IL2RA,18,10,0.5556,0.4172,1.3315,8,scored
63,imgt:mAb_1055,imgt:StudyProduct_Amgen_Acute_myeloid_leukemia_(AML)_1055,CD33;CD3E,18,14,0.7778,0.6594,1.1796,4,scored
64,imgt:mAb_469,imgt:StudyProduct_MedImmune_Glioblastoma_multiforme_(GBM)_469,PDGFRA,18,11,0.6111,0.5129,1.1914,7,scored
65,imgt:mAb_125,imgt:StudyProduct_Immunomedics_Inc_Non-Hodgkins_lymphoma_(NHL)_125,CD22,18,7,0.3889,0.3494,1.113,11,scored
66,imgt:mAb_473,imgt:StudyProduct_MacroGenics_Inc_Solid_tumors_473,ERBB2,18,9,0.5,0.3855,1.2972,9,scored
67,imgt:mAb_331,imgt:StudyProduct_Acceleron_Pharma_Inc_Myelodysplastic_syndromes_(MDS)_331,INHBA,18,7,0.3889,0.3331,1.1675,11,scored
68,imgt:mAb_365,imgt:StudyProduct_ImClone_Systems_Inc_Cancers_colon_365,FLT1,18,10,0.5556,0.4235,1.3117,8,scored
69,imgt:mAb_472,imgt:StudyProduct_Merck_&_Co_Inc_Multiple_myeloma_(MM)_472,PDCD1,18,13,0.7222,0.5976,1.2085,5,scored
70,imgt:mAb_1102,imgt:StudyProduct_Precision_Biosciences_Acute_lymphocytic_leukemia_(ALL)_1102,CD19,18,9,0.5,0.3808,1.3129,9,scored
71,imgt:mAb_531,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_prostate_531,STEAP1,18,9,0.5,0.4399,1.1366,9,scored
72,imgt:mAb_161,imgt:StudyProduct_Biogen_Inc_Myasthenia_Gravis_(MG)_161,MS4A1,18,9,0.5,0.4398,1.137,9,scored
73,imgt:mAb_151,imgt:StudyProduct_ImClone_Systems_Inc_Cancers_colorectal_(CRC)_metastatic_151,EGFR,18,11,0.6111,0.4685,1.3045,7,scored
74,imgt:mAb_96,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Rheumatoid_arthritis_(RA)_96,IL6R,18,6,0.3333,0.2643,1.2611,12,scored
75,imgt:mAb_771,imgt:StudyProduct_Merus_NV_Solid_tumors_771,ERBB2;ERBB3,18,10,0.5556,0.4193,1.3249,8,scored
76,imgt:mAb_164,imgt:StudyProduct_Micromet_AG_Cancers_prostate_164,EPCAM,18,9,0.5,0.4348,1.15,9,scored
77,imgt:mAb_203,imgt:StudyProduct_National_Cancer_Institute_Cancers_203,,,,,,,,no_target_or_ot
78,imgt:mAb_1259,imgt:StudyProduct_Celgene_corporation_Multiple_myeloma_(MM)_1259,TNFRSF17,18,13,0.7222,0.6524,1.107,5,scored
79,imgt:mAb_11,imgt:StudyProduct_Berlex_Inc_Multiple_sclerosis_(MS)_11,CD52,18,9,0.5,0.497,1.006,9,scored
80,imgt:mAb_954,imgt:StudyProduct_Pfizer_Solid_tumors_954,TNFRSF4,18,15,0.8333,0.6171,1.3503,3,scored
81,imgt:mAb_859,imgt:StudyProduct_Innovent_Biologics_Solid_tumors_859,PDCD1,18,13,0.7222,0.5974,1.2088,5,scored
82,imgt:mAb_526,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_breast_526,CD274,18,13,0.7222,0.5896,1.225,5,scored
83,imgt:mAb_1154,imgt:StudyProduct_University_of_California_Cancers_breast_1154,ROR1,18,14,0.7778,0.6468,1.2025,4,scored
84,imgt:mAb_145,imgt:StudyProduct_Beckman_Research_Institute_Cancers_145,CEACAM5,18,7,0.3889,0.3093,1.2572,11,scored
85,imgt:mAb_712,imgt:StudyProduct_AbbVie_Inc_Solid_tumors_712,EGFR,18,11,0.6111,0.4701,1.3001,7,scored
86,imgt:mAb_846,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Acute_myeloid_leukemia_(AML)_846,PDCD1,18,13,0.7222,0.5855,1.2335,5,scored
87,imgt:mAb_655,imgt:StudyProduct_Bayer_HealthCare_Pharmaceuticals_Solid_tumors_655,FGFR2,18,7,0.3889,0.3271,1.1888,11,scored
88,imgt:mAb_555,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_555,CEACAM5,18,7,0.3889,0.307,1.2669,11,scored
89,imgt:mAb_672,imgt:StudyProduct_Singh_biotechnology_Cancers_pancreatic_672,STAT3,18,12,0.6667,0.5492,1.214,6,scored
90,imgt:mAb_581,imgt:StudyProduct_MedImmune_Cancers_581,TNFRSF4,18,15,0.8333,0.6146,1.3559,3,scored
91,imgt:mAb_500,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_500,VEGFA;ANGPT2,18,11,0.6111,0.4999,1.2225,7,scored
92,imgt:mAb_1189,imgt:StudyProduct_MacroGenics_Inc_Solid_tumors_1189,PDCD1;CTLA4,18,14,0.7778,0.6396,1.216,4,scored
93,imgt:mAb_368,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_368,MET,18,7,0.3889,0.3268,1.19,11,scored
94,imgt:mAb_572,imgt:StudyProduct_KaloBios_Pharmaceuticals_Inc_Hematologic_malignancies_572,EPHA3,18,11,0.6111,0.4672,1.3082,7,scored
95,imgt:mAb_722,imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_722,ERBB2,18,9,0.5,0.3932,1.2716,9,scored
96,imgt:mAb_820,imgt:StudyProduct_Genexine_Infection_papillomavirus_(HPV)_820,IL7R,18,5,0.2778,0.328,0.847,13,scored
97,imgt:mAb_956,imgt:StudyProduct_CJSC_Biocad_Solid_tumors_956,CD274,18,13,0.7222,0.5864,1.2317,5,scored
98,imgt:mAb_320,imgt:StudyProduct_Chronic_lymphocytic_leukemia_(CLL)_320,CD5,18,11,0.6111,0.4936,1.2381,7,scored
99,imgt:mAb_905,imgt:StudyProduct_AbbVie_Inc_Cancers_ovarian_905,DPEP3,18,0,0.0,0.0,,18,scored
100,imgt:mAb_1115,imgt:StudyProduct_Affibody_AB_Cancers_breast_1115,ERBB2,18,9,0.5,0.3968,1.2602,9,scored
101,imgt:mAb_213,imgt:StudyProduct_ZymoGenetics_Inc_Systemic_lupus_erythematosus_(SLE)_213,TNFSF13;TNFSF13B,18,12,0.6667,0.6241,1.0682,6,scored
102,imgt:mAb_553,imgt:StudyProduct_Viela_Bio_Inc_Neuromyelitis_optica_(NMO)_553,CD19,18,9,0.5,0.3821,1.3086,9,scored
103,imgt:mAb_433,imgt:StudyProduct_Symphogen_Cancers_head_and_neck_433,EGFR,18,11,0.6111,0.4682,1.3052,7,scored
104,imgt:mAb_388,imgt:StudyProduct_Acceleron_Pharma_Inc_Solid_tumors_388,GDF2;BMP10,18,10,0.5556,0.4396,1.2639,8,scored
105,imgt:mAb_513,imgt:StudyProduct_Progenics_Pharmaceuticals_Inc_Cancers_prostate_513,FOLH1,18,6,0.3333,0.272,1.2254,12,scored
106,imgt:mAb_1179,imgt:StudyProduct_Shandong_New_Time_Pharmaceutical_Cancers_1179,PDCD1,18,13,0.7222,0.5944,1.215,5,scored
107,imgt:mAb_600,imgt:StudyProduct_ImmunoGen_Inc_Solid_tumors_600,EGFR,18,11,0.6111,0.4718,1.2952,7,scored
108,imgt:mAb_295,imgt:StudyProduct_ImClone_Systems_Inc_Cancers_non-small_cell_lung_(NSCLC)_295,KDR,18,12,0.6667,0.5018,1.3287,6,scored
109,imgt:mAb_1370,imgt:StudyProduct_AstraZeneca_Cancers_non-small_cell_lung_(NSCLC)_1370,TIGIT;PDCD1,18,16,0.8889,0.7692,1.1556,2,scored
110,imgt:mAb_194,imgt:StudyProduct_Genmab_A/S_Multiple_sclerosis_(MS)_194,MS4A1,18,9,0.5,0.44,1.1365,9,scored
111,imgt:mAb_931,imgt:StudyProduct_RemeGen_Ltd_Solid_tumors_931,ERBB2,18,9,0.5,0.3925,1.2739,9,scored
112,imgt:mAb_1131,imgt:StudyProduct_I-Mab_Biopharma_Solid_tumors_1131,CD47,18,16,0.8889,0.6926,1.2834,2,scored
113,imgt:mAb_472,imgt:StudyProduct_Merck_&_Co_Inc_Melanoma_metastatic_472,PDCD1,18,13,0.7222,0.6017,1.2004,5,scored
114,imgt:mAb_457,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Lymphoma_B_cell_457,CD22,18,7,0.3889,0.3467,1.1218,11,scored
115,imgt:mAb_602,imgt:StudyProduct_ImmunoGen_Inc_Non-Hodgkins_lymphoma_(NHL)_602,CD37,18,8,0.4444,0.4106,1.0824,10,scored
116,imgt:mAb_1366,imgt:StudyProduct_MD_Anderson_Cancer_Center_Cancers_gastric_1366,TNFRSF9,18,14,0.7778,0.6387,1.2177,4,scored
117,imgt:mAb_534,imgt:StudyProduct_Novartis_Pharmaceuticals_Corp_Cancers_breast_534,ERBB3,18,9,0.5,0.3765,1.3279,9,scored
118,imgt:mAb_366,imgt:StudyProduct_Kyowa_Hakko_Kirin_Lymphoma_peripheral_T_cell_(PTCL)_366,NOCT,18,3,0.1667,0.0973,1.7135,15,scored
119,imgt:mAb_76,imgt:StudyProduct_YM_BioSciences_Inc_Cancers_gastric_76,EGFR,18,11,0.6111,0.4651,1.3139,7,scored
120,imgt:mAb_333,imgt:StudyProduct_Merck_&_Co_Inc_Solid_tumors_333,IGF1R,18,4,0.2222,0.2409,0.9224,14,scored
121,imgt:mAb_1120,imgt:StudyProduct_Kymab_Cancers_non-small_cell_lung_(NSCLC)_1120,ICOS,18,10,0.5556,0.4375,1.2698,8,scored
122,imgt:mAb_1260,imgt:StudyProduct_Systimmune_Inc_Cancers_non-small_cell_lung_(NSCLC)_1260,ERBB3;EGFR,18,15,0.8333,0.6097,1.3667,3,scored
123,imgt:mAb_80,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_gastric_80,ERBB2,18,9,0.5,0.3892,1.2847,9,scored
124,imgt:mAb_528,imgt:StudyProduct_MedImmune_Solid_tumors_528,CD274,18,13,0.7222,0.5904,1.2233,5,scored
125,imgt:mAb_1142,imgt:StudyProduct_Taizhou_Hanzhong_Pharmaceuticals_Inc_Cancers_gastrointestinal_1142,PDCD1,18,13,0.7222,0.591,1.2221,5,scored
126,imgt:mAb_419,imgt:StudyProduct_Symphogen_Cancers_colorectal_(CRC)_419,EGFR,18,11,0.6111,0.4709,1.2977,7,scored
127,imgt:mAb_1366,imgt:StudyProduct_Lyvgen_Biopharma_Carcinoma_head_and_neck_squamous_cell_(HNSCC)_recurrent_or_metastatic_1366,TNFRSF9,18,14,0.7778,0.6383,1.2186,4,scored
128,imgt:mAb_80,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_prostate_80,ERBB2,18,9,0.5,0.3974,1.2581,9,scored
129,imgt:mAb_1355,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_small_cell_lung_(SCLC)_1355,HAVCR2;PDCD1,18,15,0.8333,0.7583,1.099,3,scored
130,imgt:mAb_80,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_ovarian_80,ERBB2,18,9,0.5,0.393,1.2723,9,scored
131,imgt:mAb_1005,imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_1005,TACSTD2,18,9,0.5,0.4233,1.1813,9,scored
132,imgt:mAb_501,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_501,CSF1R,18,16,0.8889,0.7119,1.2486,2,scored
133,imgt:mAb_1555,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Cancers_1555,EGFR;CD28,18,18,1.0,0.7606,1.3148,0,scored
